clade_name	clade_taxid	PD_1P_profile	PD_2P_profile	PD_3P_profile	PD_4P_profile	PD_5P_profile	PD_6P_profile	PD_7P_profile	PD_8P_profile	PD_9P_profile	PD_10P_profile	PD_11P_profile	PD_12P_profile	PD_13P_profile	PD_14P_profile	PD_15P_profile	PD_16P_profile	PD_25P_profile	PD_26P_profile	PD_27P_profile	PD_28P_profile	PD_29P_profile	PD_30P_profile	PD_31P_profile	PD_32P_profile	PD_33P_profile	PD_34P_profile	PD_35P_profile	PD_36P_profile	PD_38P_profile	PD_39P_profile	PD_40P_profile	PD_41P_profile	PD_42P_profile	PD_43P_profile	PD_44P_profile	PD_45P_profile	PD_46P_profile	PD_47P_profile	PD_48P_profile	PD_50P_profile	PD_51P_profile	PD_52P_profile	PD_53P_profile	PD_54P_profile	PD_55P_profile	PD_56P_profile	PD_57P_profile	PD_58P_profile	PD_59P_profile	PD_60P_profile	PD_63P_profile	PD_64P_profile	PD_65P_profile	PD_66P_profile	PD_70P_profile	PD_73P_profile	PD_74P_profile	PD_75P_profile	PD_76P_profile	PD_77P_profile	PD_78P_profile	PD_79S_profile	PD_81P_profile	PD_82P_profile	PD_83P_profile	PD_84P_profile	PD_100P_profile	PD_104P_profile	PD_105P_profile	PD_107P_profile	PD_108S_profile	PD_109S_profile	PD_110S_profile	PD_111P_profile	PD_112S_profile	PD_113P_profile	PD_114P_profile	PD_115S_profile	PD_116P_profile	PD_117_profile	PD_118_profile	PD_119P_profile	PD_120S_profile	PD_121S_profile	PD_122S_profile	PD_123P_profile	PD_126P_profile	PD_127S_profile	PD_128S_profile	PD_129P_profile	PD_130S_profile	PD_131P_profile	PD_134S_profile	PD_137P_profile	PD_138S_profile	PD_140S_profile	PD_141P_profile	PD_142S_profile	PD_145P_profile	PD_146S_profile	PD_147_profile	PD_148P_profile	PD_149S_profile	PD_150P_profile	PD_151S_profile	PD_152P_profile	PD_153S_profile	PD_156P_profile	PD_157S_profile	PD_158P_profile	PD_159S_profile	PD_160P_profile	PD_161S_profile	PD_162P_profile	PD_163S_profile	PD_164P_profile	PD_165S_profile	PD_166_profile	PD_167P_profile	PD_169P_profile	PD_170S_profile	PD_171P_profile	PD_172S_profile	PD_173P_profile	PD_174S_profile	PD_175P_profile	PD_176S_profile	PD_177P_profile	PD_178S_profile	PD_179P_profile	PD_180S_profile	PD_181P_profile	PD_182S_profile	PD_183P_profile	PD_184S_profile	PD_188S_profile	PD_189P_profile	PD_190S_profile	PD_191P_profile	PD_192S_profile	PD_193P_profile	PD_194S_profile	PD_195_profile	PD_196_profile	PD_197_profile	PD_198_profile	PD_199P_profile	PD_200S_profile	PD_203_profile	PD_204_profile	PD_205P_profile	PD_206S_profile	PD_207P_profile	PD_208S_profile	PD_209P_profile	PD_210S_profile	PD_211P_profile	PD_212S_profile	PD_213S_profile	PD_214S_profile	PD_215S_profile	PD_216S_profile	PD_217P_profile	PD_218S_profile	PD_221P_profile	PD_222S_profile	PD_223P_profile	PD_224S_profile	PD_225P_profile	PD_226S_profile	PD_227P_profile	PD_228S_profile	PD_229P_profile	PD_230S_profile	PD_231P_profile	PD_232S_profile
UNCLASSIFIED	-1	172626	-191724	34326	-3417	69629	-137145	30197	542719	54211	-101772	15153	-9349	160083	-54933	60036	124799	-136628	3076	78165	-103695	-122340	-78103	-32400	22481	38961	163154	366273	1437	126056	-150067	402920	-11379	386241	-97864	3872	151573	196685	50913	74050	-30175	-59128	-196084	46852	74865	241079	262667	161391	19356	-81338	-63203	44126	-52860	-41952	202965	17499	-184257	185959	-104894	108499	-7816	-41686	74312	593	2043	8742	-195154	84327	216604	157002	567	305055	238664	27162	139203	3117	173771	261303	192609	244362	-67369	22663	140297	70237	124542	186516	345395	246789	77635	9368	-112739	-141030	328843	286713	103273	-22609	286796	443915	60955	277881	5952	36225	138038	97124	250984	177078	-87342	158734	207118	391521	383603	240761	145709	5050	-4137	111290	125667	317369	90233	136821	82468	-36610	-39799	-250783	17321	96525	42043	56468	-271430	87605	364380	236267	232033	-5521	322509	348083	-9204	242487	-134067	-3492	1437	202502	-30717	36526	277612	-162461	-10630	1	9372	-89359	15926	362571	367045	265965	33618	220470	-61485	8702	7338	133496	-147265	383619	12598	4414	837	177294	27733	264457	392389	444920	107074	88108	-44453	293417	269903	392360	258467
k__Archaea	2157	32172	0	0	8562	25432	9547	0	18417	0	29841	40476	0	0	0	0	38960	0	0	36049	4702	12415	0	0	0	0	0	0	0	0	41418	0	0	0	17829	34434	0	85466	0	3507	0	0	33087	36314	0	0	72177	0	61654	0	0	0	24728	0	0	0	8888	0	16066	0	34386	69117	79217	0	0	0	93170	25701	0	0	0	0	0	0	33739	0	0	0	0	8610	47024	10128	7304	36900	256216	40207	0	236850	0	27210	0	0	0	0	0	0	0	0	0	66376	27868	0	14711	66390	0	0	59960	17618	0	0	0	0	20475	0	0	0	6570	25503	11941	0	106125	25350	0	28202	101418	15645	0	54197	0	2953	0	0	0	0	0	0	14282	0	38029	0	0	0	0	338802	4722	31393	0	0	0	76750	44562	0	0	0	0	0	13778	0	0	0	11981	0	0	0	0	64595	17741	94535	0	0	0	0	15895	0	0	7497	0
k__Archaea|p__Methanobacteriota	2157|28890	32172	0	0	8562	25432	9547	0	18417	0	29841	40476	0	0	0	0	38960	0	0	36049	4702	12415	0	0	0	0	0	0	0	0	41418	0	0	0	17829	34434	0	85466	0	3507	0	0	33087	36314	0	0	72177	0	61654	0	0	0	24728	0	0	0	8888	0	16066	0	34386	69117	79217	0	0	0	93170	25701	0	0	0	0	0	0	33739	0	0	0	0	8610	47024	10128	7304	36900	256216	40207	0	236850	0	27210	0	0	0	0	0	0	0	0	0	66376	27868	0	14711	66390	0	0	59960	17618	0	0	0	0	20475	0	0	0	6570	25503	11941	0	106125	25350	0	28202	101418	15645	0	54197	0	2953	0	0	0	0	0	0	14282	0	38029	0	0	0	0	335391	4722	31393	0	0	0	76750	44562	0	0	0	0	0	13778	0	0	0	8554	0	0	0	0	64595	17741	94535	0	0	0	0	15895	0	0	7497	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	32172	0	0	8562	25432	9547	0	18417	0	29841	40476	0	0	0	0	38960	0	0	36049	4702	12415	0	0	0	0	0	0	0	0	41418	0	0	0	17829	34434	0	85466	0	3507	0	0	33087	36314	0	0	72177	0	61654	0	0	0	24728	0	0	0	8888	0	16066	0	34386	69117	79217	0	0	0	93170	25701	0	0	0	0	0	0	33739	0	0	0	0	8610	47024	10128	7304	36900	256216	40207	0	236850	0	27210	0	0	0	0	0	0	0	0	0	66376	27868	0	14711	66390	0	0	59960	17618	0	0	0	0	20475	0	0	0	6570	25503	11941	0	106125	25350	0	28202	101418	15645	0	54197	0	2953	0	0	0	0	0	0	14282	0	38029	0	0	0	0	335391	4722	31393	0	0	0	76750	44562	0	0	0	0	0	13778	0	0	0	8554	0	0	0	0	64595	17741	94535	0	0	0	0	15895	0	0	7497	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	32172	0	0	8562	25432	9547	0	18417	0	29841	40476	0	0	0	0	38960	0	0	36049	4702	12415	0	0	0	0	0	0	0	0	41418	0	0	0	17829	34434	0	85466	0	3507	0	0	33087	36314	0	0	72177	0	61654	0	0	0	24728	0	0	0	8888	0	16066	0	34386	69117	79217	0	0	0	93170	25701	0	0	0	0	0	0	33739	0	0	0	0	8610	47024	10128	7304	36900	256216	40207	0	236850	0	27210	0	0	0	0	0	0	0	0	0	66376	27868	0	14711	66390	0	0	59960	17618	0	0	0	0	20475	0	0	0	6570	25503	11941	0	106125	25350	0	28202	101418	15645	0	54197	0	2953	0	0	0	0	0	0	14282	0	38029	0	0	0	0	335391	4722	31393	0	0	0	76750	44562	0	0	0	0	0	13778	0	0	0	8554	0	0	0	0	64595	17741	94535	0	0	0	0	15895	0	0	7497	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	32172	0	0	8562	25432	9547	0	18417	0	29841	40476	0	0	0	0	38960	0	0	36049	4702	12415	0	0	0	0	0	0	0	0	41418	0	0	0	17829	34434	0	85466	0	3507	0	0	33087	36314	0	0	72177	0	61654	0	0	0	24728	0	0	0	8888	0	16066	0	34386	69117	79217	0	0	0	93170	25701	0	0	0	0	0	0	33739	0	0	0	0	8610	47024	10128	7304	36900	256216	40207	0	236850	0	27210	0	0	0	0	0	0	0	0	0	66376	27868	0	14711	66390	0	0	59960	17618	0	0	0	0	20475	0	0	0	6570	25503	11941	0	106125	25350	0	28202	101418	15645	0	54197	0	2953	0	0	0	0	0	0	14282	0	38029	0	0	0	0	335391	4722	31393	0	0	0	76750	44562	0	0	0	0	0	13778	0	0	0	8554	0	0	0	0	64595	17741	94535	0	0	0	0	15895	0	0	7497	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532	2157|28890|183925|2158|2159|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532|s__GGB532_SGB711	2157|28890|183925|2158|2159||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532|s__GGB532_SGB711|t__SGB711	2157|28890|183925|2158|2159|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	32172	0	0	8562	25432	9547	0	18417	0	29841	40476	0	0	0	0	38960	0	0	36049	4702	12415	0	0	0	0	0	0	0	0	41418	0	0	0	17829	34434	0	85466	0	3507	0	0	33087	36314	0	0	72177	0	51862	0	0	0	24728	0	0	0	8888	0	16066	0	34386	69117	72176	0	0	0	83260	25701	0	0	0	0	0	0	25051	0	0	0	0	8610	47024	10128	7304	36900	256216	40207	0	236850	0	27210	0	0	0	0	0	0	0	0	0	66376	27868	0	14711	66390	0	0	59960	17618	0	0	0	0	20475	0	0	0	6570	25503	11941	0	106125	25350	0	22925	101418	15645	0	54197	0	0	0	0	0	0	0	0	14282	0	38029	0	0	0	0	335391	4722	31393	0	0	0	62522	44562	0	0	0	0	0	13778	0	0	0	8554	0	0	0	0	64595	17741	94535	0	0	0	0	15895	0	0	7497	0
