Sample	Top over-represented sequence	Sum of remaining over-represented sequences
PD_100P_filtered_1	0	0
PD_100P_filtered_2	0	0
PD_104P_filtered_1	0	0
PD_104P_filtered_2	0	0
PD_105P_filtered_1	0	0
PD_105P_filtered_2	0	0
PD_107P_filtered_1	0.41958041958	99.5804195804
PD_107P_filtered_2	0.41958041958	99.5804195804
PD_108S_filtered_1	0	0
PD_108S_filtered_2	0	0
PD_109S_filtered_1	0	0
PD_109S_filtered_2	0	0
PD_10P_filtered_1	0	0
PD_10P_filtered_2	0	0
PD_110S_filtered_1	0	0
PD_110S_filtered_2	0	0
PD_111P_filtered_1	0	0
PD_111P_filtered_2	0	0
PD_112S_filtered_1	0	0
PD_112S_filtered_2	0	0
PD_113P_filtered_1	0	0
PD_113P_filtered_2	0	0
PD_114P_filtered_1	0	0
PD_114P_filtered_2	0	0
PD_115S_filtered_1	0	0
PD_115S_filtered_2	0	0
PD_116P_filtered_1	0	0
PD_116P_filtered_2	0	0
PD_117_filtered_1	0	0
PD_117_filtered_2	0	0
PD_118_filtered_1	0	0
PD_118_filtered_2	0	0
PD_119P_filtered_1	0	0
PD_119P_filtered_2	0	0
PD_11P_filtered_1	0	0
PD_11P_filtered_2	0	0
PD_120S_filtered_1	0	0
PD_120S_filtered_2	0	0
PD_121S_filtered_1	0	0
PD_121S_filtered_2	0	0
PD_122S_filtered_1	0	0
PD_122S_filtered_2	0	0
PD_123P_filtered_1	0	0
PD_123P_filtered_2	0	0
PD_126P_filtered_1	0	0
PD_126P_filtered_2	0	0
PD_127S_filtered_1	0	0
PD_127S_filtered_2	0	0
PD_128S_filtered_1	0	0
PD_128S_filtered_2	0	0
PD_129P_filtered_1	0	0
PD_129P_filtered_2	0	0
PD_12P_filtered_1	0	0
PD_12P_filtered_2	0	0
PD_130S_filtered_1	0	0
PD_130S_filtered_2	0	0
PD_131P_filtered_1	0	0
PD_131P_filtered_2	0	0
PD_134S_filtered_1	0	0
PD_134S_filtered_2	0	0
PD_137P_filtered_1	0	0
PD_137P_filtered_2	0	0
PD_138S_filtered_1	0	0
PD_138S_filtered_2	0	0
